step,timestamp_offset_seconds,road_id,road_name,speed_kmh,occupancy_pct,queue_length,signal_phase,signal_remaining_seconds
0,00:00:00,R01,"Infocity Flyover",14,88,49,GREEN,38
0,00:00:00,R02,"Infocity Flyover Ramp",10,95,58,N/A,0
0,00:00:00,R03,"GIFT City Road",39,27,6,GREEN,24
0,00:00:00,R04,"Koba - Gandhinagar Highway",21,87,37,GREEN,17
0,00:00:00,R05,"GH Road",21,76,31,GREEN,10
0,00:00:00,R06,"GH-3 Circle",14,95,53,N/A,0
0,00:00:00,R07,"Gandhinagar-Ahmedabad Highway",36,53,12,RED,41
0,00:00:00,R08,"CH Road",29,58,18,RED,34
0,00:00:00,R09,"Sarkhej-Gandhinagar Highway",40,35,6,RED,27
0,00:00:00,R10,"Gandhinagar-Sarkhej Highway",41,45,8,N/A,0
0,00:00:00,R11,"CHH Road",31,56,13,RED,13
0,00:00:00,R12,"Sardar Patel Ring Road",55,23,4,RED,6
0,00:00:00,R13,"Gandhinagar Bypass Road",62,19,4,N/A,0
0,00:00:00,R14,"NH48",64,14,3,N/A,0
0,00:00:00,R15,"Sardar Patel Ring Road Flyover",53,22,2,N/A,0
0,00:00:00,R16,"Kudasan-Por Road",48,22,4,GREEN,23
0,00:00:00,R17,"Randesan Road",51,20,1,N/A,0
0,00:00:00,R18,"Mahatma Gandhi Road",45,32,5,GREEN,9
0,00:00:00,R19,"Pandit Dindayal Upadhyay Marg",44,26,2,GREEN,2
0,00:00:00,R20,"Shram Marg",47,22,2,N/A,0
0,00:00:00,R21,"Mansa Road",38,35,6,RED,33
0,00:00:00,R22,"Airport Road",55,20,2,N/A,0
0,00:00:00,R23,"Vaishnodevi Circle",36,39,7,RED,19
0,00:00:00,R24,"Koba Circle",30,51,11,RED,12
0,00:00:00,R25,"Swagat Circle",40,39,5,RED,5
1,00:00:05,R01,"Infocity Flyover",14,94,49,GREEN,33
1,00:00:05,R02,"Infocity Flyover Ramp",13,97,59,N/A,0
1,00:00:05,R03,"GIFT City Road",36,31,5,GREEN,19
1,00:00:05,R04,"Koba - Gandhinagar Highway",15,88,37,GREEN,12
1,00:00:05,R05,"GH Road",24,82,29,GREEN,5
1,00:00:05,R06,"GH-3 Circle",11,94,55,N/A,0
1,00:00:05,R07,"Gandhinagar-Ahmedabad Highway",34,49,16,RED,36
1,00:00:05,R08,"CH Road",25,63,19,RED,29
1,00:00:05,R09,"Sarkhej-Gandhinagar Highway",44,40,4,RED,22
1,00:00:05,R10,"Gandhinagar-Sarkhej Highway",42,42,9,N/A,0
1,00:00:05,R11,"CHH Road",32,54,14,RED,8
1,00:00:05,R12,"Sardar Patel Ring Road",54,18,2,RED,1
1,00:00:05,R13,"Gandhinagar Bypass Road",62,16,3,N/A,0
1,00:00:05,R14,"NH48",65,18,3,N/A,0
1,00:00:05,R15,"Sardar Patel Ring Road Flyover",51,26,3,N/A,0
1,00:00:05,R16,"Kudasan-Por Road",49,24,4,GREEN,18
1,00:00:05,R17,"Randesan Road",50,14,3,N/A,0
1,00:00:05,R18,"Mahatma Gandhi Road",44,27,5,GREEN,4
1,00:00:05,R19,"Pandit Dindayal Upadhyay Marg",48,22,1,RED,42
1,00:00:05,R20,"Shram Marg",48,19,1,N/A,0
1,00:00:05,R21,"Mansa Road",38,31,3,RED,28
1,00:00:05,R22,"Airport Road",53,23,2,N/A,0
1,00:00:05,R23,"Vaishnodevi Circle",35,41,11,RED,14
1,00:00:05,R24,"Koba Circle",30,47,12,RED,7
1,00:00:05,R25,"Swagat Circle",37,32,5,GREEN,45
2,00:00:10,R01,"Infocity Flyover",17,95,46,GREEN,28
2,00:00:10,R02,"Infocity Flyover Ramp",8,95,64,N/A,0
2,00:00:10,R03,"GIFT City Road",39,28,7,GREEN,14
2,00:00:10,R04,"Koba - Gandhinagar Highway",21,88,39,GREEN,7
2,00:00:10,R05,"GH Road",23,76,31,YELLOW,3
2,00:00:10,R06,"GH-3 Circle",11,96,53,N/A,0
2,00:00:10,R07,"Gandhinagar-Ahmedabad Highway",38,52,11,RED,31
2,00:00:10,R08,"CH Road",29,64,17,RED,24
2,00:00:10,R09,"Sarkhej-Gandhinagar Highway",40,39,5,RED,17
2,00:00:10,R10,"Gandhinagar-Sarkhej Highway",37,38,6,N/A,0
2,00:00:10,R11,"CHH Road",29,55,9,RED,3
2,00:00:10,R12,"Sardar Patel Ring Road",56,24,5,GREEN,41
2,00:00:10,R13,"Gandhinagar Bypass Road",62,19,2,N/A,0
2,00:00:10,R14,"NH48",67,17,0,N/A,0
2,00:00:10,R15,"Sardar Patel Ring Road Flyover",52,21,6,N/A,0
2,00:00:10,R16,"Kudasan-Por Road",45,23,2,GREEN,13
2,00:00:10,R17,"Randesan Road",49,21,4,N/A,0
2,00:00:10,R18,"Mahatma Gandhi Road",45,33,8,YELLOW,2
2,00:00:10,R19,"Pandit Dindayal Upadhyay Marg",49,24,2,RED,37
2,00:00:10,R20,"Shram Marg",47,18,2,N/A,0
2,00:00:10,R21,"Mansa Road",41,35,9,RED,23
2,00:00:10,R22,"Airport Road",57,18,1,N/A,0
2,00:00:10,R23,"Vaishnodevi Circle",36,44,5,RED,9
2,00:00:10,R24,"Koba Circle",28,46,8,RED,2
2,00:00:10,R25,"Swagat Circle",37,38,8,GREEN,40
3,00:00:15,R01,"Infocity Flyover",15,97,49,GREEN,23
3,00:00:15,R02,"Infocity Flyover Ramp",9,98,65,N/A,0
3,00:00:15,R03,"GIFT City Road",38,26,7,GREEN,9
3,00:00:15,R04,"Koba - Gandhinagar Highway",15,85,42,GREEN,2
3,00:00:15,R05,"GH Road",21,78,34,RED,40
3,00:00:15,R06,"GH-3 Circle",11,92,53,N/A,0
3,00:00:15,R07,"Gandhinagar-Ahmedabad Highway",35,54,12,RED,26
3,00:00:15,R08,"CH Road",27,59,17,RED,19
3,00:00:15,R09,"Sarkhej-Gandhinagar Highway",43,35,9,RED,12
3,00:00:15,R10,"Gandhinagar-Sarkhej Highway",38,39,8,N/A,0
3,00:00:15,R11,"CHH Road",30,57,9,GREEN,43
3,00:00:15,R12,"Sardar Patel Ring Road",58,20,2,GREEN,36
3,00:00:15,R13,"Gandhinagar Bypass Road",59,19,5,N/A,0
3,00:00:15,R14,"NH48",67,18,3,N/A,0
3,00:00:15,R15,"Sardar Patel Ring Road Flyover",52,24,2,N/A,0
3,00:00:15,R16,"Kudasan-Por Road",50,18,5,GREEN,8
3,00:00:15,R17,"Randesan Road",54,15,0,N/A,0
